STT_Goc,Chuong,Ten_Chuong,Tu_Vung,Nghia
659,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",増員 (ぞういん),tăng số lượng nhân viên
660,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",減点 (げんてん),giảm trừ
661,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",減退 (げんたい),"giảm sút, suy thoái"
662,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",減量 (げんりょう),"giảm cân, lượng hao hụt"
663,17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",開発 (かいはつ),"phát triển, khai thác"
664,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",開店 (かいてん),"mở cửa hàng, khai trương nhà hàng"
665,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",開業 (かいぎょう),"khởi nghiệp, triển khai, mở"
666,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",開催 (かいさい),"tổ chức, đăng cai"
667,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",開放 (かいほう),sự mở cửa; sự tự do hoá
668,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",閉鎖 (へいさ),"phong tỏa, đóng lối ra vào, tạm dừng công việc"
669,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",密閉 (みっぺい),"kín hơi, niêm phong"
670,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",改善 (かいぜん),cải thiện
671,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",改良 (かいりょう),cải tiến ( vật chất )
672,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",改革 (かいかく),Cải cách
673,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",改正 (かいせい),"cải chính, sửa đổi"
674,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",改定 (かいてい),"Sửa đổi, thay đổi"
675,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",改修 (かいしゅう),"Cảu tạo, tu bổ, nâng cấp"
676,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",一致 (いっち),"nhất trí, thống nhất, trùng hợp"
677,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",一方 (いっぽう),"mặt khác, ngày càng"
678,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",一定 (いってい),"nhất định, không thay đổi"
679,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",一人前 (いちにんまえ),"Suất ăn, trưởng thành"
680,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",一流 (いちりゅう),"bậc nhất, hàng đầu"
681,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",映る (うつる),"phản chiếu, được chiếu"
682,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",映す (うつす),"chiếu, phản chiếu, soi"
683,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",つかる,Ngâm nước nóng( chân
684,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",つける,"ngâm, chấm"
685,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",浮かぶ (うかぶ),"nổi, nghĩ ra, lơ lửng"
686,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",浮かべる (うかべる),Làm trôi nổi
687,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",浮く (うく),"Nối; lung lay, dư ra, tách biệt, lấp lửng"
688,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",潜る (もぐる),"Lặn, chui"
689,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",跳ねる (はねる),"bắn ra ( dầu, mỡ, bùn,...), nhảy"
690,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",背負う (せおう),"Gánh vác, cõng, đảm đương"
691,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",追う (おう),"đuổi, theo đuổi"
692,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",追いかける (おいかける),"chạy theo, đuổi theo"
693,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",追いつく (おいつく),đuổi kịp
694,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",追い越す (おいこす),vượt lên
695,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",振り向く (ふりむく),"ngoảnh lại, quay lại"
696,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",捕る/採る/執る (とる),"Bắt, tuyển dụng, đảm nhiệm"
697,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",取り上げる (とりあげる),"Bình luận, cầm lấy, tịch thu, giơ lên..."
698,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",取り入れる (とりいれる),"thu hoạch, áp dụng, đưa vào"
699,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",削る (けずる),"cắt giảm, gọt giũa"
700,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",縛る (しばる),"buộc, thắt"
701,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",絞る・搾る (しぼる),"vắt, bóp"
702,18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",回る (まわる),"xoay quanh, dạo quanh, chuyển (bóng)"
703,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",回す (まわす),"xoay, chuyển, vặn núm, truyền tay"
704,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",区切る (くぎる),"Phân chia, chia"
705,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",組む (くむ),"Lên lịch, hợp tác, lắp ghép"
706,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",組み立てる (くみたてる),"lắp ráp, tổ chức"
707,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",加わる (くわわる),"Gia nhập, tăng cường"
708,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",加える (くわえる),"thêm vào, làm tăng lên"
709,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",仕上がる (しあがる),"hoàn thiện, hoàn thành"
710,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",仕上げる (しあげる),"hoàn thành, giai đoạn hoàn thiện, giai đoạn cuối"
711,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",通り掛かる (とおりかかる),đi ngang qua
712,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",飛び回る (とびまわる),"chạy tới chạy lui, bay loanh quanh"
713,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",巡る (めぐる),"lặp lại, xung quanh ( vấn đề gì đó ), vòng quanh"
714,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",補う (おぎなう),"thêm, bổ sung, đền bù"
715,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",防ぐ (ふせぐ),"phòng, chống"
716,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",救う (すくう),"cứu, giúp"
717,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",除く (のぞく),"loại trừ, bỏ qua, lấy đi"
718,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",省く (はぶく),"loại bỏ, tiết kiệm"
719,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",誤る (あやまる),"mắc lỗi, lầm lỡ"
720,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",奪う (うばう),"cướp đoạt, làm say đắm"
721,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",しまう,cất đi
722,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",怠ける (なまける),lười biếng
723,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",失う (うしなう),mất
724,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",攻める (せめる),"tấn công, táo bạo"
725,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",にらむ,"lườm, liếc, nhìn chằm chằm"
726,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",責める (せめる),"đổ lỗi, trách móc"
727,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",裏切る (うらぎる),"phản bội, bán đứng"
728,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",頼る (たよる),"dựa dẫm, dựa vào, nhờ cậy"
729,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",遭う (あう),"gặp gỡ, gặp phải"
730,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",招く (まねく),"mời, rủ"
731,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",引っ掛かる (ひっかかる),"bị mắc vào, bị vướng vào"
732,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",引っ掛ける (ひっかける),"mắc, vướng, hất, bắn..."
733,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",ひっくり返る (ひっくりかえる),"đảo lộn, lật ngược"
734,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",ひっくり返す (ひっくりかえす),"đảo ngược, lật ngửa"
735,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",ずれる,trượt
736,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",ずらす,"lùi lại (lịch trình, kế hoạch)"
737,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",崩れる (くずれる),"sạt lở, sụp đổ, lụi tàn"
738,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",崩す (くずす),"thay đổi, đổi (tiền), sụp, vỡ, mất đi"
739,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",荒れる (あれる),"hỗn loạn, động trời, nứt nẻ, tức giận"
740,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",荒らす (あらす),"làm lộn xộn, tung tóe, phá hoại"
741,19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",認める (みとめる),"thừa nhận, thú nhận, khẳng định"
742,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",見直す (みなおす),"nhìn lại, rà soát"
743,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",見慣れる (みなれる),"quen, nhẵn mặt"
744,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",求める (もとめる),"cầu mong, mong muốn, hỏi"
745,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",漏れる (もれる),"rò rỉ, bỏ sót, thiếu, thốt ra..."
746,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",漏らす (もらす),"biểu hiện, lộ, bỏ sót"
747,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",なる,"trở nên, trở thành, kêu, gáy, ra quả"
748,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",焦げる (こげる),bị cháy
749,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",反する (はんする),trái lại
750,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",膨れる (ふくれる),"phồng, sưng, hơn dỗi"
751,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",膨らむ (ふくらむ),"phồng, phình, tăng lên..."
752,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",膨らます (ふくらます),"thổi phồng, làm phong phú"
753,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",とがる,nhọn
754,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",当てはまる (あてはまる),"áp dụng, hợp với, đúng"
755,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",就く (つく),"đi theo, đi cùng, đảm nhiệm, nắm giữ, tiếp nhận"
756,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",受け持つ (うけもつ),đảm nhận
757,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",従う (したがう),"theo, tuân theo, tuân thủ"
758,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",つぶやく,thì thầm
759,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",述べる (のべる),"phát biểu, bày tỏ, trình bày"
760,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",目覚める (めざめる),"thức giấc, quan tâm, tự nhận thức"
761,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",限る (かぎる),"giới hạn, hạn chế, không bắt buộc"
762,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",片寄る (かたよる),"nghiêng, lệch, thiếu..."
763,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",薄まる (うすまる),"suy nhược, nhạt đi, phai nhòa"
764,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",薄める (うすめる),"làm nhạt đi; làm thưa bớt, làm loãng"
765,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",薄れる (うすれる),"nhạt dần, phai dần"
766,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",透き通る (すきとおる),"trong suốt, trong vắt"
767,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",静まる・鎮まる (しずまる),"yên tĩnh, dịu đi, im lặng"
768,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",静める・鎮める (しずめる),"trấn tĩnh, làm bớt đi"
769,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",優れる (すぐれる),"giỏi, ưu tú, hoàn hảo"
770,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",落ち着く (おちつく),"bình tĩnh, lắng xuống, quyết định, đơn giản"
771,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",長引く (ながびく),kéo dài
772,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",衰える (おとろえる),"yếu dần đi, sa sút"
773,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",備わる (そなわる),"lắp đặt, sẵn có, sở hữu.."
774,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",備える (そなえる),"chuẩn bị, trang bị, cung cấp"
775,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",蓄える (たくわえる),"tích lũy, dự trữ"
776,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",整う (ととのう),"Đã sẵn sàng, chuẩn bị, sắp đặt"
777,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",整える・調える (ととのえる),"hoàn thiện, chỉnh chu, điều chinh"
778,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",覆う (おおう),"phủ, bao bọc, bịt"
779,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",照る (てる),chiếu sáng
780,20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",照らす (てらす),"chiếu theo, căn cứ vào"
781,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",染まる (そまる),"nhuộm, nhiễm"
782,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",染める (そめる),"nhuộm, nhúng tay"
783,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",ダブル,"gấp đôi, trùng nhau, nhắc lai"
784,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",あこがれる,"mong ước, mơ ước, ngưỡng mộ, khao khát"
785,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",うらやむ,đố kỵ
786,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",あきらめる,từ bỏ
787,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",あきれる,"ngạc nhiên, cạn lời, bó tay"
788,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",恐れる (おそれる),"sợ, nguy cơ, khủng khiếp"
789,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",恨む (うらむ),"hận, căm thù, oán hận"
790,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",慰める (なぐさめる),"an ủi, động viên"
791,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",インテリア,nội thất
792,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",コーナー,góc
793,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",カウンター,quầy tính tiền
794,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",スペース,khoảng trống
795,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",オープン,cửa mở
796,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",センター,trung tâm
797,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",カルチャー,văn hóa
798,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",ブーム,bùng nổ
799,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",$1\times7*-x-$ ション,thông tin
800,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",キャッチ,bắt lấy
801,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",メディア,truyền thông
802,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",コメント,bình luận
803,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",コラム,cột
804,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",エピソード,chương; phần
805,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",アリバイ,chứng cứ ngoại phạm
806,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",シリーズ,loạt
807,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",ポイント,điểm mấu chốt
808,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",キー,chìa khóa
809,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",マスター,thuần thục
810,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",ビジネス,business
811,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",キャリア,kinh nghiệm
812,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",ベテラン,chuyên gia
813,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",フリー,tự do
814,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",エコノミー,kinh tế
815,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",キャッシュ,tiền mặt
816,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",インフレ,lạm phát
817,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",デモ,cuộc biểu tình
818,21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",$x-7]-,nhà chế tạo
819,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",システム,hệ thống
820,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",ケース,trường hợp
821,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",パターン,mẫu
822,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",プラン,kế hoạch
823,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",トラブル,rắc rối
824,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",エラー,lỗi
825,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",クレーム,phàn nàn
826,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",キャンセル,hủy bỏ
827,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",ストップ,dừng lại
828,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",カット,cắt bớt
829,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",カバー,bao bọc
830,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",リハビリ,hồi phục chức năng
831,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",プレッシャー,sức ép
832,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",カウンセリング,tư vấn tâm lý
833,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",キャラクター,nhân vật
834,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",ユニークな,độc nhất
835,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",ルーズな,lơ đễnh
836,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",ロマンチックな,lãng mạn
837,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",センス,giác quan
838,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",エコロジー,sinh thái học
839,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",ダム,Đê
840,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",コンクリート,bê tông
841,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",単純な (たんじゅんな),đơn giản
842,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",純粋な (じゅんすいな),"trong sáng, ngây thơ, tỉnh khôi, tinh khiết"
843,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",透明な (とうめいな),"trong suốt, trong veo"
844,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",爽やかな (さわやかな),"sảng khoái, tươi, thoáng"
845,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",素直な (すなおな),"chân thành, thật thà, ngoan ngoãn"
846,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",率直な (そっちょくな),"trực tỉnh, thẳng thắn"
847,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",誠実な (せいじつな),"thật thà, chân thành"
848,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",謙虚な (けんきょな),khiêm tốn
849,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",賢い (かしこい),"thông minh, khôn ngoan"
850,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",慎重な (しんちょうな),"thận trọng, cẩn thận"
851,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",穏やかな (おだやかな),"yên ả, ôn hòa, bình yên"
852,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",真剣な (しんけんな),"nghiêm túc, nghiêm trọng"
853,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",正式な (せいしきな),"chính thức, gốc"
854,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",主な (おもな),"chính, chủ yếu"
855,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",主要な (しゅような),Mấu chốt
856,22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",貴重な (きちょうな),quý trọng
857,23,"Chương 23: Du lịch, Thể thao & Giải trí (旅行・スポーツと娯楽)",偉大な (いだいな),vĩ đại
858,23,"Chương 23: Du lịch, Thể thao & Giải trí (旅行・スポーツと娯楽)",偉い (えらい),"tuyệt vời, giỏi, vĩ đại"
859,23,"Chương 23: Du lịch, Thể thao & Giải trí (旅行・スポーツと娯楽)",独特な (どくとくな),"riêng biệt, đặc biệt, độc đáo"
860,23,"Chương 23: Du lịch, Thể thao & Giải trí (旅行・スポーツと娯楽)",特殊な (とくしゅな),"đặc biệt, đặc thù"
861,23,"Chương 23: Du lịch, Thể thao & Giải trí (旅行・スポーツと娯楽)",奇妙な (きみょうな),"kỳ lạ, lạ lùng"
862,23,"Chương 23: Du lịch, Thể thao & Giải trí (旅行・スポーツと娯楽)",妙な (みょうな),lạ thường
863,23,"Chương 23: Du lịch, Thể thao & Giải trí (旅行・スポーツと娯楽)",怪しい (あやしい),"đáng nghi, nghi ngờ"
864,23,"Chương 23: Du lịch, Thể thao & Giải trí (旅行・スポーツと娯楽)",異常な (いじょうな),"khác thường, bất thường"
865,23,"Chương 23: Du lịch, Thể thao & Giải trí (旅行・スポーツと娯楽)",高度な (こうどな),"độ cao, tiên tiến"
866,23,"Chương 23: Du lịch, Thể thao & Giải trí (旅行・スポーツと娯楽)",新たな (あらたな),"thay mới, làm mới"
867,23,"Chương 23: Du lịch, Thể thao & Giải trí (旅行・スポーツと娯楽)",合理的な (ごうりてきな),"hợp lý, tính logic"
868,23,"Chương 23: Du lịch, Thể thao & Giải trí (旅行・スポーツと娯楽)",器用な (きような),"tinh xảo, tài giỏi, khéo léo"
869,23,"Chương 23: Du lịch, Thể thao & Giải trí (旅行・スポーツと娯楽)",手軽な (てがるな),"nhẹ nhàng, đơn giản"
870,23,"Chương 23: Du lịch, Thể thao & Giải trí (旅行・スポーツと娯楽)",手ごろな (てごろな),"hợp lý, phù hợp, vừa phải"
871,23,"Chương 23: Du lịch, Thể thao & Giải trí (旅行・スポーツと娯楽)",高価な (こうかな),đắt
