stt,pattern,reading,meaning,connection,usage_notes,level,exam_ja_1,exam_vi_1,exam_ja_2,exam_vi_2,similar_patterns,card_type
138,Vるものではない / もんじゃない,Vるものではない / もんじゃない,Vるものではない / もんじゃない,Vるものではない,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'Vるものではない / もんじゃない'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、努力るものではないことが大切である。,"Để đạt được mục tiêu, việc (Vるものではない / もんじゃない) là rất quan trọng.",日々の練習を積み重ねて、努力るものではない成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (Vるものではない / もんじゃない).",類: Vるものではない / Mẫu ngữ pháp N2 liên quan,grammar
139,〜というものだ / というもんだ,〜というものだ / というもんだ,〜というものだ / というもんだ,V (thể thông thường) / N / A + というものだ,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜というものだ / というもんだ'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、というものだことが大切である。,"Để đạt được mục tiêu, việc (〜というものだ / というもんだ) là rất quan trọng.",日々の練習を積み重ねて、というものだ成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜というものだ / というもんだ).",類: 〜というものだ / Mẫu ngữ pháp N2 liên quan,grammar
140,〜ものか / ものですか,〜ものか / ものですか,〜ものか / ものですか,V (thể thông thường) / N / A + ものか,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜ものか / ものですか'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、ものかことが大切である。,"Để đạt được mục tiêu, việc (〜ものか / ものですか) là rất quan trọng.",日々の練習を積み重ねて、ものか成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜ものか / ものですか).",類: 〜ものか / Mẫu ngữ pháp N2 liên quan,grammar
141,Nを中心に / 中心にして / 中心にしたN / 中心として,Nをちゅうしんに / ちゅうしんにして / ちゅうしんにしたN / ちゅうしんとして,Nをちゅうしんに / ちゅうしんにして / ちゅうしんにしたN / ちゅうしんとして,Nを中心に,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'Nをちゅうしんに / ちゅうしんにして / ちゅうしんにしたN / ちゅうしんとして'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、仕事を中心にことが大切である。,"Để đạt được mục tiêu, việc (Nをちゅうしんに / ちゅうしんにして / ちゅうしんにしたN / ちゅうしんとして) là rất quan trọng.",日々の練習を積み重ねて、仕事を中心に成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (Nをちゅうしんに / ちゅうしんにして / ちゅうしんにしたN / ちゅうしんとして).",類: Nを中心に / Mẫu ngữ pháp N2 liên quan,grammar
142,Nをこめて,Nをこめて,Nをこめて,Nをこめて,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'Nをこめて'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、仕事をこめてことが大切である。,"Để đạt được mục tiêu, việc (Nをこめて) là rất quan trọng.",日々の練習を積み重ねて、仕事をこめて成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (Nをこめて).",類: Nをこめて / Mẫu ngữ pháp N2 liên quan,grammar
143,Nを通じて / 通して,Nをつうじて / とおして,Nをつうじて / とおして,Nを通じて,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'Nをつうじて / とおして'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、仕事を通じてことが大切である。,"Để đạt được mục tiêu, việc (Nをつうじて / とおして) là rất quan trọng.",日々の練習を積み重ねて、仕事を通じて成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (Nをつうじて / とおして).",類: Nを通じて / Mẫu ngữ pháp N2 liên quan,grammar
144,Nを頼りにV / 頼りとして / 頼りにして,NをたよりにV / たよりとして / たよりにして,NをたよりにV / たよりとして / たよりにして,Nを頼りにV,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'NをたよりにV / たよりとして / たよりにして'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、仕事を頼りに努力ことが大切である。,"Để đạt được mục tiêu, việc (NをたよりにV / たよりとして / たよりにして) là rất quan trọng.",日々の練習を積み重ねて、仕事を頼りに努力成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (NをたよりにV / たよりとして / たよりにして).",類: Nを頼りにV / Mẫu ngữ pháp N2 liên quan,grammar
145,〜恐れがある,〜おそれがある,"Có nguy cơ, e rằng... (xảy ra điều xấu)",V-dict / N + の + 恐れがある,"Dùng trong văn bản tin tức, thông báo chính thức để cảnh báo nguy cơ xảy ra thảm họa, rủi ro, dịch bệnh.",N2,この大雨で川が氾濫する恐れがある。,Do trận mưa lớn này mà có nguy cơ nước sông sẽ bị tràn bờ.,放置すると病気が悪化する恐れがあります。,Nếu để mặc không chữa trị thì có nguy cơ bệnh tình sẽ trở nặng.,類: 〜かねない / 〜心配がある,grammar
146,〜ものがある,〜ものがある,〜ものがある,V (thể thông thường) / N / A + ものがある,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜ものがある'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、ものがあることが大切である。,"Để đạt được mục tiêu, việc (〜ものがある) là rất quan trọng.",日々の練習を積み重ねて、ものがある成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜ものがある).",類: 〜ものがある / Mẫu ngữ pháp N2 liên quan,grammar
147,Vば / Aければ / Aなら / Nなら + Aいという / Aだ（Nだ）という + ものでもない / ものではない,Vば / Aければ / Aなら / Nなら + Aいという / Aだ（Nだ）という + ものでもない / ものではない,Vば / Aければ / Aなら / Nなら + Aいという / Aだ（Nだ）という + ものでもない / ものではない,Vば,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'Vば / Aければ / Aなら / Nなら + Aいという / Aだ（Nだ）という + ものでもない / ものではない'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、努力ばことが大切である。,"Để đạt được mục tiêu, việc (Vば / Aければ / Aなら / Nなら + Aいという / Aだ（Nだ）という + ものでもない / ものではない) là rất quan trọng.",日々の練習を積み重ねて、努力ば成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (Vば / Aければ / Aなら / Nなら + Aいという / Aだ（Nだ）という + ものでもない / ものではない).",類: Vば / Mẫu ngữ pháp N2 liên quan,grammar
148,どうにか / なんとか + Vないものか / Vれないもの（だろう）か,どうにか / なんとか + Vないものか / Vれないもの（だろう）か,どうにか / なんとか + Vないものか / Vれないもの（だろう）か,どうにか,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'どうにか / なんとか + Vないものか / Vれないもの（だろう）か'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、どうにかことが大切である。,"Để đạt được mục tiêu, việc (どうにか / なんとか + Vないものか / Vれないもの（だろう）か) là rất quan trọng.",日々の練習を積み重ねて、どうにか成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (どうにか / なんとか + Vないものか / Vれないもの（だろう）か).",類: どうにか / Mẫu ngữ pháp N2 liên quan,grammar
149,Nをもとに / もとにして,Nをもとに / もとにして,Nをもとに / もとにして,Nをもとに,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'Nをもとに / もとにして'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、仕事をもとにことが大切である。,"Để đạt được mục tiêu, việc (Nをもとに / もとにして) là rất quan trọng.",日々の練習を積み重ねて、仕事をもとに成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (Nをもとに / もとにして).",類: Nをもとに / Mẫu ngữ pháp N2 liên quan,grammar
150,Nにつき,Nにつき,Nにつき,Nにつき,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'Nにつき'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、仕事につきことが大切である。,"Để đạt được mục tiêu, việc (Nにつき) là rất quan trọng.",日々の練習を積み重ねて、仕事につき成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (Nにつき).",類: Nにつき / Mẫu ngữ pháp N2 liên quan,grammar
151,〜を契機に / 〜をきっかけに,〜をけいきに / 〜をきっかけに,Nhân dịp... / Kể từ bước ngoặt...,N + を契機に / をきっかけに,"を契機に: văn cảnh trang trọng, sự kiện có tính lịch sử/bước ngoặt lớn. をきっかけに: dùng cho cả chuyện cá nhân đời thường.",N2,法改正を契機に、社内ルールを全面的に見直した。,"Nhân cơ hội sửa đổi luật pháp, công ty đã rà soát lại toàn bộ quy định nội bộ.",日本のアニメを見たのをきっかけに、日本語の勉強を始めた。,Nhờ dịp xem anime Nhật Bản mà tôi đã bắt đầu học tiếng Nhật.,類: 〜を機に / 〜を機として,grammar
152,〜際に,〜さいに,〜さいに,V (thể thông thường) / N / A + 際に,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '〜さいに'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、際にことが大切である。,"Để đạt được mục tiêu, việc (〜さいに) là rất quan trọng.",日々の練習を積み重ねて、際に成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (〜さいに).",類: 〜際に / Mẫu ngữ pháp N2 liên quan,grammar
153,A（事実）。それなのにB（予想外の結果）,A（じじつ）。それなのにB（よそうがいのけっか）,A（事実）。それなのにB（予想外の結果）,A（事実）。それなのにB（予想外の結果）,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'A（事実）。それなのにB（予想外の結果）'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、A（事実）。それなのにB（予想外の結果）ことが大切である。,"Để đạt được mục tiêu, việc (A（事実）。それなのにB（予想外の結果）) là rất quan trọng.",日々の練習を積み重ねて、A（事実）。それなのにB（予想外の結果）成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (A（事実）。それなのにB（予想外の結果）).",類: A（事実）。それなのにB（予想外の結果） / Mẫu ngữ pháp N2 liên quan,grammar
154,A（状況）。それでもB（結果）,A（じょうきょう）。それでもB（けっか）,A（状況）。それでもB（結果）,A（状況）。それでもB（結果）,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'A（状況）。それでもB（結果）'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、A（状況）。それでもB（結果）ことが大切である。,"Để đạt được mục tiêu, việc (A（状況）。それでもB（結果）) là rất quan trọng.",日々の練習を積み重ねて、A（状況）。それでもB（結果）成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (A（状況）。それでもB（結果）).",類: A（状況）。それでもB（結果） / Mẫu ngữ pháp N2 liên quan,grammar
155,「A」「それなら（ば）B」,「A」「それなら（ば）B」,「A」「それなら（ば）B」,「A」「それなら（ば）B」,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '「A」「それなら（ば）B」'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、「A」「それなら（ば）B」ことが大切である。,"Để đạt được mục tiêu, việc (「A」「それなら（ば）B」) là rất quan trọng.",日々の練習を積み重ねて、「A」「それなら（ば）B」成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (「A」「それなら（ば）B」).",類: 「A」「それなら（ば）B」 / Mẫu ngữ pháp N2 liên quan,grammar
156,A（理由）。それでB（結果）,A（りゆう）。それでB（けっか）,A（理由）。それでB（結果）,A（理由）。それでB（結果）,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'A（理由）。それでB（結果）'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、A（理由）。それでB（結果）ことが大切である。,"Để đạt được mục tiêu, việc (A（理由）。それでB（結果）) là rất quan trọng.",日々の練習を積み重ねて、A（理由）。それでB（結果）成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (A（理由）。それでB（結果）).",類: A（理由）。それでB（結果） / Mẫu ngữ pháp N2 liên quan,grammar
157,「A」「それがB」,「A」「それがB」,「A」「それがB」,「A」「それがB」,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa '「A」「それがB」'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、「A」「それがB」ことが大切である。,"Để đạt được mục tiêu, việc (「A」「それがB」) là rất quan trọng.",日々の練習を積み重ねて、「A」「それがB」成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (「A」「それがB」).",類: 「A」「それがB」 / Mẫu ngữ pháp N2 liên quan,grammar
158,A（予定）。それがB（Aと異なる結果）,A（よてい）。それがB（Aと異なるけっか）,A（予定）。それがB（Aと異なる結果）,A（予定）。それがB（Aと異なる結果）,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'A（予定）。それがB（Aと異なる結果）'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、A（予定）。それがB（Aと異なる結果）ことが大切である。,"Để đạt được mục tiêu, việc (A（予定）。それがB（Aと異なる結果）) là rất quan trọng.",日々の練習を積み重ねて、A（予定）。それがB（Aと異なる結果）成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (A（予定）。それがB（Aと異なる結果）).",類: A（予定）。それがB（Aと異なる結果） / Mẫu ngữ pháp N2 liên quan,grammar
159,A（事情の説明）。そこでB（提案）,A（じじょうのせつめい）。そこでB（ていあん）,A（事情の説明）。そこでB（提案）,A（事情の説明）。そこでB（提案）,Mẫu ngữ pháp N2 dùng để diễn đạt ý nghĩa 'A（事情の説明）。そこでB（提案）'. Xuất hiện phổ biến trong đề thi JLPT N2 và giao tiếp trang trọng.,N2,目標を達成するために、A（事情の説明）。そこでB（提案）ことが大切である。,"Để đạt được mục tiêu, việc (A（事情の説明）。そこでB（提案）) là rất quan trọng.",日々の練習を積み重ねて、A（事情の説明）。そこでB（提案）成果を得ることができた。,"Nhờ tích lũy luyện tập mỗi ngày, tôi đã đạt được thành quả (A（事情の説明）。そこでB（提案）).",類: A（事情の説明）。そこでB（提案） / Mẫu ngữ pháp N2 liên quan,grammar
160,A。そういえばB,A。そういえばB,A。そういえばB,Văn bản / Câu A. + A。そういえばB,"Từ nối liên kết đoạn văn, diễn đạt ý nghĩa 'A。そういえばB' giữa hai câu hoặc hai vế.",N2,昨日は大雨だった。そういえば、試合は予定通り行われた。,"Hôm qua trời mưa to. A。そういえばB, trận đấu vẫn diễn ra đúng như dự kiến.",彼は優秀な技術者だ。そういえば、人柄も素晴らしい。,"Anh ấy là một kỹ sư xuất sắc. A。そういえばB, nhân cách cũng rất tuyệt vời.",類: A。そういえばB / Mẫu ngữ pháp N2 liên quan,grammar
161,A。それはそうとB,A。それはそうとB,A。それはそうとB,Văn bản / Câu A. + A。それはそうとB,"Từ nối liên kết đoạn văn, diễn đạt ý nghĩa 'A。それはそうとB' giữa hai câu hoặc hai vế.",N2,昨日は大雨だった。それはそうと、試合は予定通り行われた。,"Hôm qua trời mưa to. A。それはそうとB, trận đấu vẫn diễn ra đúng như dự kiến.",彼は優秀な技術者だ。それはそうと、人柄も素晴らしい。,"Anh ấy là một kỹ sư xuất sắc. A。それはそうとB, nhân cách cũng rất tuyệt vời.",類: A。それはそうとB / Mẫu ngữ pháp N2 liên quan,grammar
162,AすなわちA’,AすなわちA’,AすなわちA’,Văn bản / Câu A. + AすなわちA’,"Từ nối liên kết đoạn văn, diễn đạt ý nghĩa 'AすなわちA’' giữa hai câu hoặc hai vế.",N2,昨日は大雨だった。すなわち’、試合は予定通り行われた。,"Hôm qua trời mưa to. AすなわちA’, trận đấu vẫn diễn ra đúng như dự kiến.",彼は優秀な技術者だ。すなわち’、人柄も素晴らしい。,"Anh ấy là một kỹ sư xuất sắc. AすなわちA’, nhân cách cũng rất tuyệt vời.",類: AすなわちA’ / Mẫu ngữ pháp N2 liên quan,grammar
163,AあるいはB,AあるいはB,AあるいはB,Văn bản / Câu A. + AあるいはB,"Từ nối liên kết đoạn văn, diễn đạt ý nghĩa 'AあるいはB' giữa hai câu hoặc hai vế.",N2,昨日は大雨だった。あるいは、試合は予定通り行われた。,"Hôm qua trời mưa to. AあるいはB, trận đấu vẫn diễn ra đúng như dự kiến.",彼は優秀な技術者だ。あるいは、人柄も素晴らしい。,"Anh ấy là một kỹ sư xuất sắc. AあるいはB, nhân cách cũng rất tuyệt vời.",類: AあるいはB / Mẫu ngữ pháp N2 liên quan,grammar
164,A。だがB,A。だがB,A。だがB,Văn bản / Câu A. + A。だがB,"Từ nối liên kết đoạn văn, diễn đạt ý nghĩa 'A。だがB' giữa hai câu hoặc hai vế.",N2,昨日は大雨だった。だが、試合は予定通り行われた。,"Hôm qua trời mưa to. A。だがB, trận đấu vẫn diễn ra đúng như dự kiến.",彼は優秀な技術者だ。だが、人柄も素晴らしい。,"Anh ấy là một kỹ sư xuất sắc. A。だがB, nhân cách cũng rất tuyệt vời.",類: A。だがB / Mẫu ngữ pháp N2 liên quan,grammar
165,A。だってB,A。だってB,A。だってB,Văn bản / Câu A. + A。だってB,"Từ nối liên kết đoạn văn, diễn đạt ý nghĩa 'A。だってB' giữa hai câu hoặc hai vế.",N2,昨日は大雨だった。だって、試合は予定通り行われた。,"Hôm qua trời mưa to. A。だってB, trận đấu vẫn diễn ra đúng như dự kiến.",彼は優秀な技術者だ。だって、人柄も素晴らしい。,"Anh ấy là một kỹ sư xuất sắc. A。だってB, nhân cách cũng rất tuyệt vời.",類: A。だってB / Mẫu ngữ pháp N2 liên quan,grammar
166,A。ということはB,A。ということはB,A。ということはB,Văn bản / Câu A. + A。ということはB,"Từ nối liên kết đoạn văn, diễn đạt ý nghĩa 'A。ということはB' giữa hai câu hoặc hai vế.",N2,昨日は大雨だった。ということは、試合は予定通り行われた。,"Hôm qua trời mưa to. A。ということはB, trận đấu vẫn diễn ra đúng như dự kiến.",彼は優秀な技術者だ。ということは、人柄も素晴らしい。,"Anh ấy là một kỹ sư xuất sắc. A。ということはB, nhân cách cũng rất tuyệt vời.",類: A。ということはB / Mẫu ngữ pháp N2 liên quan,grammar
167,A。というのはB,A。というのはB,A。というのはB,Văn bản / Câu A. + A。というのはB,"Từ nối liên kết đoạn văn, diễn đạt ý nghĩa 'A。というのはB' giữa hai câu hoặc hai vế.",N2,昨日は大雨だった。というのは、試合は予定通り行われた。,"Hôm qua trời mưa to. A。というのはB, trận đấu vẫn diễn ra đúng như dự kiến.",彼は優秀な技術者だ。というのは、人柄も素晴らしい。,"Anh ấy là một kỹ sư xuất sắc. A。というのはB, nhân cách cũng rất tuyệt vời.",類: A。というのはB / Mẫu ngữ pháp N2 liên quan,grammar
168,A。したがってB,A。したがってB,A。したがってB,Văn bản / Câu A. + A。したがってB,"Từ nối liên kết đoạn văn, diễn đạt ý nghĩa 'A。したがってB' giữa hai câu hoặc hai vế.",N2,昨日は大雨だった。したがって、試合は予定通り行われた。,"Hôm qua trời mưa to. A。したがってB, trận đấu vẫn diễn ra đúng như dự kiến.",彼は優秀な技術者だ。したがって、人柄も素晴らしい。,"Anh ấy là một kỹ sư xuất sắc. A。したがってB, nhân cách cũng rất tuyệt vời.",類: A。したがってB / Mẫu ngữ pháp N2 liên quan,grammar
169,A。ただしB,A。ただしB,A。ただしB,Văn bản / Câu A. + A。ただしB,"Từ nối liên kết đoạn văn, diễn đạt ý nghĩa 'A。ただしB' giữa hai câu hoặc hai vế.",N2,昨日は大雨だった。ただし、試合は予定通り行われた。,"Hôm qua trời mưa to. A。ただしB, trận đấu vẫn diễn ra đúng như dự kiến.",彼は優秀な技術者だ。ただし、人柄も素晴らしい。,"Anh ấy là một kỹ sư xuất sắc. A。ただしB, nhân cách cũng rất tuyệt vời.",類: A。ただしB / Mẫu ngữ pháp N2 liên quan,grammar
170,A。もっともB,A。もっともB,A。もっともB,Văn bản / Câu A. + A。もっともB,"Từ nối liên kết đoạn văn, diễn đạt ý nghĩa 'A。もっともB' giữa hai câu hoặc hai vế.",N2,昨日は大雨だった。もっとも、試合は予定通り行われた。,"Hôm qua trời mưa to. A。もっともB, trận đấu vẫn diễn ra đúng như dự kiến.",彼は優秀な技術者だ。もっとも、人柄も素晴らしい。,"Anh ấy là một kỹ sư xuất sắc. A。もっともB, nhân cách cũng rất tuyệt vời.",類: A。もっともB / Mẫu ngữ pháp N2 liên quan,grammar
171,A。なおB,A。なおB,A。なおB,Văn bản / Câu A. + A。なおB,"Từ nối liên kết đoạn văn, diễn đạt ý nghĩa 'A。なおB' giữa hai câu hoặc hai vế.",N2,昨日は大雨だった。なお、試合は予定通り行われた。,"Hôm qua trời mưa to. A。なおB, trận đấu vẫn diễn ra đúng như dự kiến.",彼は優秀な技術者だ。なお、人柄も素晴らしい。,"Anh ấy là một kỹ sư xuất sắc. A。なおB, nhân cách cũng rất tuyệt vời.",類: A。なおB / Mẫu ngữ pháp N2 liên quan,grammar
172,A。さてB,A。さてB,A。さてB,Văn bản / Câu A. + A。さてB,"Từ nối liên kết đoạn văn, diễn đạt ý nghĩa 'A。さてB' giữa hai câu hoặc hai vế.",N2,昨日は大雨だった。さて、試合は予定通り行われた。,"Hôm qua trời mưa to. A。さてB, trận đấu vẫn diễn ra đúng như dự kiến.",彼は優秀な技術者だ。さて、人柄も素晴らしい。,"Anh ấy là một kỹ sư xuất sắc. A。さてB, nhân cách cũng rất tuyệt vời.",類: A。さてB / Mẫu ngữ pháp N2 liên quan,grammar
173,A。するとB,A。するとB,A。するとB,Văn bản / Câu A. + A。するとB,"Từ nối liên kết đoạn văn, diễn đạt ý nghĩa 'A。するとB' giữa hai câu hoặc hai vế.",N2,昨日は大雨だった。すると、試合は予定通り行われた。,"Hôm qua trời mưa to. A。するとB, trận đấu vẫn diễn ra đúng như dự kiến.",彼は優秀な技術者だ。すると、人柄も素晴らしい。,"Anh ấy là một kỹ sư xuất sắc. A。するとB, nhân cách cũng rất tuyệt vời.",類: A。するとB / Mẫu ngữ pháp N2 liên quan,grammar
174,A。要するにA’,A。ようするにA’,A。ようするにA’,Văn bản / Câu A. + A。要するにA’,"Từ nối liên kết đoạn văn, diễn đạt ý nghĩa 'A。ようするにA’' giữa hai câu hoặc hai vế.",N2,昨日は大雨だった。要するに’、試合は予定通り行われた。,"Hôm qua trời mưa to. A。ようするにA’, trận đấu vẫn diễn ra đúng như dự kiến.",彼は優秀な技術者だ。要するに’、人柄も素晴らしい。,"Anh ấy là một kỹ sư xuất sắc. A。ようするにA’, nhân cách cũng rất tuyệt vời.",類: A。要するにA’ / Mẫu ngữ pháp N2 liên quan,grammar
175,（Nは）A。しかもB,（Nは）A。しかもB,（Nは）A。しかもB,Văn bản / Câu A. + （Nは）A。しかもB,"Từ nối liên kết đoạn văn, diễn đạt ý nghĩa '（Nは）A。しかもB' giữa hai câu hoặc hai vế.",N2,昨日は大雨だった。（Nは）しかも、試合は予定通り行われた。,"Hôm qua trời mưa to. （Nは）A。しかもB, trận đấu vẫn diễn ra đúng như dự kiến.",彼は優秀な技術者だ。（Nは）しかも、人柄も素晴らしい。,"Anh ấy là một kỹ sư xuất sắc. （Nは）A。しかもB, nhân cách cũng rất tuyệt vời.",類: （Nは）A。しかもB / Mẫu ngữ pháp N2 liên quan,grammar
